,ADF_Statistic_Original,p_value_Original,Stationary_Original,ADF_Statistic_1st_Diff,p_value_1st_Diff,Stationary_1st_Diff,ADF_Statistic_2nd_Diff,p_value_2nd_Diff,Stationary_2nd_Diff,"ARIMA(1, 1, 1)_RMSE","ARIMA(1, 0, 1)_RMSE","ARIMA(2, 1, 1)_RMSE","ARIMA(2, 2, 1)_RMSE","ARIMA(2, 2, 2)_RMSE","ARIMA(2, 0, 1)_RMSE",Best_ARIMA,Best_ARIMA_RMSE,"SARIMAX((0, 0, 0), (0, 0, 1, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 0, 12))_RMSE","SARIMAX((0, 0, 0), (1, 0, 0, 12))_RMSE","SARIMAX((0, 0, 0), (0, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 1, 12))_RMSE","SARIMAX((0, 0, 0), (1, 1, 0, 12))_RMSE",Best_SARIMAX,Best_SARIMAX_RMSE,Best_Model,Best_Model_RMSE,May_2024_Forecast
sku1,1.5833737513531976,0.9978068283595484,No,-4.911625391685144,3.310207394638627e-05,Yes,-6.044666560464832,1.3206018554798298e-07,Yes,6092.747636389858,5583.730048577915,6598.051651928069,9736.971351680475,6467.65822019133,6853.125166203505,"(1, 0, 1)",5583.730048577915,5303.04026841617,6110.101349404935,5661.6509009697265,6494.981053814669,6119.234679057669,6936.148081743766,"((0, 0, 0), (0, 0, 1, 12))",5303.04026841617,SARIMAX,5303.04026841617,4258.0260110994495
sku2,-6.491482935578945,1.2235487560448496e-08,Yes,-9.252146355080844,1.4823598286676937e-15,Yes,-7.811108297641481,7.065958462138416e-12,Yes,1496.7129158684697,1557.1354685053664,1491.5202663333002,718.4490273882598,1062.213705236042,1558.0634811828868,"(2, 2, 1)",718.4490273882598,3008.0416482744076,4124.908443428371,3181.3096629907973,1206.827181832348,4124.772103979767,3527.872686996734,"((0, 0, 0), (0, 1, 1, 12))",1206.827181832348,ARIMA,718.4490273882598,4654.640171867633
sku3,-0.37978220323121487,0.9134200916561523,No,-6.445605695699658,1.568714280329005e-08,Yes,-5.296010885178773,5.580802564468968e-06,Yes,1811.829972980186,2030.337759398946,2284.614062316639,3624.8850989284683,2294.3418125790827,2204.6210909866218,"(1, 1, 1)",1811.829972980186,1503.7878892202777,2235.772759770843,1469.9021560052506,1287.8655791145943,1222.8517499659638,2312.4496484345964,"((0, 0, 0), (1, 1, 1, 12))",1222.8517499659638,SARIMAX,1222.8517499659638,2746.696465180535
sku4,-0.0924867010981732,0.9501817641189002,No,-7.1222929660764285,3.695698253644753e-10,Yes,-5.973744497964805,1.9090767188786968e-07,Yes,2171.411691159367,1920.6833684280596,2184.340247775683,3036.668773689774,2245.535911954804,2169.256880812352,"(1, 0, 1)",1920.6833684280596,1867.6943543659502,1550.8605675559618,1671.423934778685,1488.130676484955,1261.2517455229336,1610.4229959107538,"((0, 0, 0), (1, 1, 1, 12))",1261.2517455229336,SARIMAX,1261.2517455229336,-99.78849761425226
sku5,-1.9702743968830185,0.29975686506649923,No,-3.6595074528064155,0.0047201435795144915,Yes,-4.656264235303855,0.00010159959324715907,Yes,6409.716568722811,6295.214508282019,6434.917136142299,6480.325428120834,6471.326299704574,6227.067628383013,"(2, 0, 1)",6227.067628383013,7141.707216187388,9620.331647089928,7078.666190633614,6365.3418779594995,12179.508721241467,8724.003928289836,"((0, 0, 0), (0, 1, 1, 12))",6365.3418779594995,ARIMA,6227.067628383013,-1429.9328900014686
sku6,0.5777920293472538,0.987055255644809,No,-4.160389889749034,0.0007683509769437105,Yes,-4.759769263784206,6.488891576150683e-05,Yes,5649.00755808629,5458.789895294827,5561.317841095884,5732.645654829226,5566.499838805052,5261.506589986267,"(2, 0, 1)",5261.506589986267,5743.257724931961,5922.856475834387,5743.8832602382045,5292.912554904684,5643.960923544043,7615.429378958679,"((0, 0, 0), (0, 1, 1, 12))",5292.912554904684,ARIMA,5261.506589986267,-3580.6335738320595
sku7,-2.200768820613383,0.20596653766455897,No,-4.8138878063065755,5.1154872169893644e-05,Yes,-4.635846302189368,0.00011088182349481898,Yes,5802.427416923977,5789.519139918916,5561.059240179844,5969.914466268817,6356.46117112721,6033.516151700048,"(2, 1, 1)",5561.059240179844,5729.818478783795,7020.113128243258,5732.509952243806,5850.77674388811,5906.4043584585115,7235.723347935613,"((0, 0, 0), (0, 0, 1, 12))",5729.818478783795,ARIMA,5561.059240179844,709.537491198119
sku8,-6.677212993623944,4.434035855742693e-09,Yes,-6.581485853277947,7.494947684386695e-09,Yes,-6.420145289486819,1.7999713538776006e-08,Yes,699.6197078873298,712.1669130022694,714.0010675691076,428.4885169742291,679.5055602030814,715.1355096560179,"(2, 2, 1)",428.4885169742291,1381.1762732601505,1742.211860442543,1456.1418747689152,600.4804433815543,975.7369506733979,1233.0968546936435,"((0, 0, 0), (0, 1, 1, 12))",600.4804433815543,ARIMA,428.4885169742291,2052.54653446512
sku9,-2.4568241407861526,0.12633590537194983,No,-8.896902381526958,1.2001138651845633e-14,Yes,-5.851659259871986,3.577520749208449e-07,Yes,1251.7399205102786,1238.0821406057917,1266.0814872241788,1272.3897212252623,1274.0287678718282,1236.4396504703589,"(2, 0, 1)",1236.4396504703589,1341.3602478092876,1765.8064257820938,1342.3169916337101,1384.1030580906586,1385.0108408848926,1598.3876749291323,"((0, 0, 0), (0, 0, 1, 12))",1341.3602478092876,ARIMA,1236.4396504703589,-370.412180047688
sku10,-2.984332442477883,0.03638368497804746,Yes,-5.253410566937375,6.833151671602276e-06,Yes,-4.376383648223902,0.0003267393531017813,Yes,5532.862190494265,5901.935008946179,5048.717221154728,6361.418440900545,4061.414574472649,5906.723692376315,"(2, 2, 2)",4061.414574472649,5155.325048329125,2197.46763343627,4827.6581075772465,5025.821772032234,2910.417335401398,2503.8393327542017,"((0, 0, 0), (0, 1, 0, 12))",2197.46763343627,SARIMAX,2197.46763343627,600.0
