MaterialNumber,Actual,Best_Prediction,Best_Model,Best_Accuracy
AB,[442],444.75080974536155,Tuned_SARIMA,99.3776448539906
ABC,[648],663.3636038006114,Tuned_SARIMA,97.62907348755996
ABCD,[836],835.7782954544609,Tuned_SARIMA,99.97348031751925
ABCDE,[200],185.06735708234635,Tuned_SARIMA,92.53367854117317
ABCDEF,[101],100.16207567232438,Tuned_SARIMA,99.17037195279642
ABCDEFG,[104],105.80288758543907,Tuned_SARIMA,98.26645424477013
ABCDEFGH,[163],176.47898967324093,Tuned_SARIMA,91.73068118206078
ABCDEFGHI,[148],132.26609802246094,LSTM,89.36898515031145
ABCDEFGHIJ,[257],245.55670166015625,LSTM,95.54735473157831
ABCDEFGHIJK,[289],282.74456612017116,Tuned_SARIMA,97.83549000697964
ABCDEFGHIJKL,[30],30.0,Tuned_SARIMA,100.0
ABCDEFGHIJKLM,[78],77.80354916827778,Tuned_SARIMA,99.7481399593305
ABCDEFGHIJKLMN,[113],111.53139297787446,Tuned_SARIMA,98.7003477680305
ABCDEFGHIJKLMNO,[2781],2781.3108399555567,Tuned_SARIMA,99.98882272723635
