MaterialNumber,Actual_ARIMA,Predicted_ARIMA,RMSE_ARIMA,Accuracy_ARIMA,Actual_ETS,Predicted_ETS,RMSE,Accuracy_ETS,Actual,Predicted,RMSE_Tuned_Arima,Order_Tuned_Arima,Accuracy_Tuned_Arima,Actual_LSTM,Predicted_LSTM,RMSE_LSTM,Accuracy_LSTM,Actual_AUTO_ARIMA,Predicted_AUTO_ARIMA,RMSE_AUTOARIMA,Acuuracy_AUTOARIMA,Actual_SARIMA,Predicted_SARIMA,RMSE_SARIMA,Accuracy_SARIMA,Actual_Tuned_SARIMA,Predicted_Tuned_SARIMA,RMSE_Tuned_SARIMA,Order_Tuned_SARIMA,SeasonalOrder_Tuned_SARIMA,Accuracy_Tuned_SARIMA,Best_Model,Best_Prediction,Best_Accuracy
AB,[442],681.0676317618272,239.06763176182722,45.91230050637394,[442],391.44607641542177,50.55392358457823,88.56246072747098,[442],663.9325342374968,221.93253423749684,"(0, 0, 1)",49.78901940328125,442.0,420.16086,21.839141845703125,95.05901768196762,[[442]],[643.52205062],201.522050616128,54.406775878704075,[442],280.8338969454594,161.1661030545406,63.53708075689127,442,444.75080974536155,2.7508097453615505,"(1, 1, 1)","(0, 1, 0, 11)",99.3776448539906,Tuned_SARIMA,444.75080974536155,99.3776448539906
ABC,[648],1228.730807609923,580.730807609923,10.381048208345224,[648],750.81903028862,102.81903028861996,84.13286569620062,[648],661.4296137857095,13.429613785709535,"(0, 0, 1)",97.92752873677321,648.0,608.0322,39.9677734375,93.83213372878086,[[648]],[616.01025549],31.989744509406364,95.06331103249902,[648],666.1611337270118,18.161133727011816,97.19735590632533,648,663.3636038006114,15.363603800611372,"(1, 0, 1)","(1, 1, 1, 11)",97.62907348755996,Tuned_SARIMA,663.3636038006114,97.62907348755996
ABCD,[836],1445.8981090496618,609.8981090496618,27.045680735686382,[836],745.9297703759155,90.0702296240845,89.22604908802818,[836],876.2818571205431,40.28185712054312,"(0, 0, 2)",95.18159603821255,836.0,829.88025,6.1197509765625,99.26797237122457,[[836]],[544.2065495],291.7934505005328,65.09647721285494,[836],792.7854492475899,43.214550752410105,94.83079536454424,836,835.7782954544609,0.22170454553906893,"(1, 0, 1)","(0, 1, 0, 11)",99.97348031751925,Tuned_SARIMA,835.7782954544609,99.97348031751925
ABCDE,[200],392.6825681145243,192.68256811452432,3.6587159427378446,[200],225.37544744996265,25.37544744996265,87.31227627501868,[200],202.5435057211394,2.543505721139411,"(0, 0, 0)",98.7282471394303,200.00000000000003,236.15182,36.15182495117185,81.92408752441408,[[200]],[568.84336157],368.8433615717014,-84.42168078585071,[200],121.78326765320122,78.21673234679878,60.89163382660061,200,185.06735708234635,14.932642917653652,"(0, 1, 1)","(1, 1, 1, 11)",92.53367854117317,Tuned_SARIMA,185.06735708234635,92.53367854117317
ABCDEF,[101],287.20440119290953,186.20440119290953,-84.36079326030645,[101],157.69307226071194,56.69307226071194,43.86824528642382,[101],180.4673797011588,79.46737970115879,"(0, 0, 0)",21.319426038456648,101.0,147.34535,46.34535217285156,54.11351270014697,[[101]],[361.65925197],260.65925196798395,-158.07846729503362,[101],231.66357209373004,130.66357209373004,-29.36987336012877,101,100.16207567232438,0.8379243276756227,"(1, 0, 0)","(0, 1, 0, 11)",99.17037195279642,Tuned_SARIMA,100.16207567232438,99.17037195279642
ABCDEFG,[104],211.65363843869872,107.65363843869872,-3.5131138833641495,[104],115.05059600528477,11.050596005284774,89.37442691799541,[104],187.04919786276756,83.04919786276756,"(0, 0, 1)",20.14500205503118,104.0,155.80296,51.80296325683594,50.18945840688852,[[104]],[212.57944316],108.57944316299609,-4.403310733650079,[104],165.92304398349418,61.92304398349418,40.45861155433251,104,105.80288758543907,1.8028875854390662,"(1, 1, 1)","(1, 1, 0, 11)",98.26645424477013,Tuned_SARIMA,105.80288758543907,98.26645424477013
ABCDEFGH,[163],456.3504880251688,293.3504880251688,-79.96962455531826,[163],583.6939565572768,420.6939565572768,-158.09445187562994,[163],213.1397378094613,50.13973780946131,"(0, 0, 1)",69.2394246567722,163.0,149.17035,13.82965087890625,91.51555160803298,[[163]],[561.11661379],398.1166137930268,-144.2433213454152,[163],488.2461049257979,325.2461049257979,-99.53748768453859,163,176.47898967324093,13.478989673240932,"(0, 0, 1)","(1, 1, 1, 11)",91.73068118206078,Tuned_SARIMA,176.47898967324093,91.73068118206078
ABCDEFGHI,[148],357.12283994451303,209.12283994451303,-41.29921617872503,[148],486.57376942348594,338.57376942348594,-128.7660604212743,[148],128.92614239644428,19.073857603555723,"(0, 0, 1)",87.11225837597586,148.0,132.2661,15.733901977539062,89.36898515031145,[[148]],[406.98406875],258.984068748314,-74.98923564075271,[148],375.84479985418227,227.84479985418227,-53.94918909066369,148,106.42102472859604,41.57897527140396,"(0, 0, 1)","(0, 0, 1, 11)",71.90609778959191,LSTM,132.26609802246094,89.36898515031145
ABCDEFGHIJ,[257],476.42348560880566,219.42348560880566,14.621211825367443,[257],523.3796669973196,266.37966699731965,-3.6496758744434477,[257],217.08048858938793,39.919511410612074,"(0, 0, 1)",84.46711618264122,257.0,245.5567,11.44329833984375,95.54735473157831,[[257]],[483.13206361],226.13206361482173,12.010870188785317,[257],485.4199511136833,228.41995111368328,11.12064159000652,257,193.00110980596173,63.99889019403827,"(0, 0, 1)","(1, 1, 1, 11)",75.09770809570495,LSTM,245.55670166015625,95.54735473157831
ABCDEFGHIJK,[289],571.9927320576953,282.9927320576953,2.078639426403006,[289],398.80999093997764,109.80999093997764,62.003463342568296,[289],284.0411652845449,4.958834715455112,"(0, 0, 0)",98.28414023686675,289.0,334.20685,45.20684814453125,84.35749199151168,[[289]],[577.70176776],288.7017677578283,0.10319454746425816,[289],442.31968130766097,153.31968130766097,46.94820715997891,289,282.74456612017116,6.255433879828843,"(1, 1, 0)","(1, 1, 0, 11)",97.83549000697964,Tuned_SARIMA,282.74456612017116,97.83549000697964
ABCDEFGHIJKL,[30],120.03951224432792,90.03951224432792,-200.131707481093,[30],99.9469538631031,69.9469538631031,-133.15651287701033,[30],29.847821689491813,0.1521783105081873,"(0, 0, 0)",99.4927389649727,30.0,35.143227,5.143226623535156,82.85591125488281,[[30]],[123.11519478],93.11519478173761,-210.383982605792,[30],93.58634452893153,63.586344528931534,-111.95448176310512,30,30.0,0.0,"(0, 0, 0)","(0, 1, 0, 11)",100.0,Tuned_SARIMA,30.0,100.0
ABCDEFGHIJKLM,[78],184.1160713715447,106.1160713715447,-36.046245348134235,[78],177.71106155860494,99.71106155860494,-27.834694305903774,[78],66.52620321837048,11.473796781629517,"(0, 0, 1)",85.290004126116,78.0,82.65652,4.656517028808594,94.03010637332233,[[78]],[121.63006719],43.630067193659954,44.064016418384675,[78],134.61788758253746,56.61788758253746,27.412964637772486,78,77.80354916827778,0.1964508317222169,"(1, 0, 0)","(1, 0, 0, 11)",99.7481399593305,Tuned_SARIMA,77.80354916827778,99.7481399593305
ABCDEFGHIJKLMN,[113],262.3043204303986,149.3043204303986,-32.12771719504302,[113],180.11753456356863,67.11753456356863,40.60395171365608,[113],134.28782828803622,21.287828288036224,"(0, 0, 1)",81.16121390439272,113.0,141.6955,28.69549560546875,74.6057561013551,[[113]],[96.18772916],16.812270840546446,85.1218842119058,[113],163.88315083554443,50.88315083554443,54.97066297739431,113,111.53139297787446,1.4686070221255392,"(1, 0, 1)","(1, 1, 0, 11)",98.7003477680305,Tuned_SARIMA,111.53139297787446,98.7003477680305
ABCDEFGHIJKLMNO,[2781],3295.657673731888,514.6576737318878,81.49379094815218,[2781],3484.3607807136345,703.3607807136345,74.7083502080678,[2781],2903.4171757731356,122.41717577313557,"(1, 0, 1)",95.59808789021447,2781.0,2496.726,284.27392578125,89.7779961962873,[[2781]],[3529.90411744],748.9041174370395,73.0706897721309,[2781],2494.201306553682,286.7986934463179,89.68720987248048,2781,2781.3108399555567,0.3108399555567303,"(0, 1, 1)","(1, 0, 0, 11)",99.98882272723635,Tuned_SARIMA,2781.3108399555567,99.98882272723635
