MaterialNumber,04-01-2015,05-01-2015,06-01-2015,07-01-2015,08-01-2015,09-01-2015,10-01-2015,11-01-2015,12-01-2015,01-01-2016,02-01-2016,03-01-2016,04-01-2016,05-01-2016,06-01-2016,07-01-2016,08-01-2016,09-01-2016,10-01-2016,11-01-2016,12-01-2016,01-01-2017,02-01-2017,03-01-2017,04-01-2017,05-01-2017,06-01-2017,07-01-2017,08-01-2017,09-01-2017,10-01-2017,11-01-2017,12-01-2017,01-01-2018,02-01-2018,03-01-2018,04-01-2018,05-01-2018,06-01-2018,07-01-2018,08-01-2018,09-01-2018,10-01-2018,11-01-2018,12-01-2018,01-01-2019,02-01-2019,03-01-2019,04-01-2019,05-01-2019,06-01-2019,07-01-2019,08-01-2019,09-01-2019,10-01-2019,11-01-2019,12-01-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,01-01-2022,02-01-2022,03-01-2022,04-01-2022,05-01-2022,06-01-2022,07-01-2022,08-01-2022,09-01-2022,10-01-2022,11-01-2022,12-01-2022
AB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,884,321,117,45,37,69,24,433,325,249,335,601,870,795,141,83,49,84,81,2229,940,401,559,911,1529,442
ABC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,617,487,190,26,65,15,7,985,346,329,375,723,936,579,149,58,76,58,159,2316,1080,600,1227,1516,1569,648
ABCD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,817,352,65,33,57,36,3,1220,629,625,606,883,922,668,180,37,65,42,83,4822,1460,809,1436,2003,2018,836
ABCDE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,162,70,21,18,2,99,213,344,329,394,617,570,302,202,24,28,8,105,691,1357,366,219,352,514,325,52,66,2,0,3,441,432,662,418,429,508,610,171,45,56,27,38,1401,491,279,338,458,608,548,67,42,45,11,25,932,544,287,225,440,521,200
ABCDEF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,165,55,23,8,11,59,187,317,461,455,590,718,356,153,72,73,40,146,573,773,472,234,310,381,276,38,20,58,0,0,353,455,687,515,583,545,292,83,50,37,14,5,1382,479,438,344,229,278,209,88,17,17,5,10,796,458,197,131,352,280,101
ABCDEFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,142,23,7,5,7,12,139,413,547,621,535,558,268,110,14,20,8,164,710,655,92,395,446,310,187,40,39,28,0,2,298,945,869,844,865,523,268,35,18,7,9,2,2335,802,387,318,167,128,84,34,11,13,1,3,714,476,167,67,231,216,104
ABCDEFGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2235,803,353,320,599,676,163
ABCDEFGHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,384,265,288,518,443,148
ABCDEFGHIJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,939,633,337,339,511,572,257
ABCDEFGHIJK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,680,962,672,596,833,790,205,59,148,77,544,1214,916,426,353,353,899,371,108,29,24,0,7,518,613,634,383,589,1200,588,76,66,102,45,45,1963,756,599,526,534,724,567,141,81,44,38,85,1971,726,373,262,530,751,289
ABCDEFGHIJKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,40,94,120,195,213,102,32,17,9,4,4,283,97,34,114,150,85,75,30,7,2,6,14,315,180,128,71,133,156,30
ABCDEFGHIJKLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,186,316,145,104,22,18,7,6,4,483,222,72,262,328,193,90,36,19,7,11,20,816,229,200,221,340,189,78
ABCDEFGHIJKLMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,31,9,72,47,20,4,2,2,0,0,18,149,211,370,495,250,120,21,21,29,40,4,767,361,241,320,380,220,138,57,37,15,7,49,1073,224,284,375,347,305,113
ABCDEFGHIJKLMNO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,3532,3295,801,150,173,84,248,8160,2547,1643,2094,3000,3392,3156,829,238,138,212,493,8893,3544,2788,2131,2671,5132,2781
