MaterialNumber,Actual,Predicted,RMSE_SARIMA,WindowSize(Months),Accuracy_SARIMA
AB,[940],230.63493239005945,383.16019550563476,6,45.36255640642892
AB,[401],435.8357619321543,383.16019550563476,6,45.36255640642892
AB,[559],820.0391582364973,383.16019550563476,6,45.36255640642892
AB,[911],1053.7926230174455,383.16019550563476,6,45.36255640642892
AB,[1529],993.1784582312993,383.16019550563476,6,45.36255640642892
AB,[442],413.32626427478544,383.16019550563476,6,45.36255640642892
AB,[911],969.1285228254953,225.022919827565,3,32.95002783863681
AB,[1529],1215.1530681581278,225.022919827565,3,32.95002783863681
AB,[442],218.3325648407052,225.022919827565,3,32.95002783863681
AB,[442],280.8338969454594,161.1661030545406,1,63.53708075689127
ABC,[1080],-523.7940979854229,921.4499843475201,6,29.52781200511454
ABC,[600],1307.8191732722337,921.4499843475201,6,29.52781200511454
ABC,[1227],335.50848347845874,921.4499843475201,6,29.52781200511454
ABC,[1516],1517.0506963927146,921.4499843475201,6,29.52781200511454
ABC,[1569],470.03114522051476,921.4499843475201,6,29.52781200511454
ABC,[648],511.0102946514444,921.4499843475201,6,29.52781200511454
ABC,[1516],1131.6378963693876,470.0969426688515,3,53.913444612107774
ABC,[1569],872.6529524057273,470.0969426688515,3,53.913444612107774
ABC,[648],473.81627768590306,470.0969426688515,3,53.913444612107774
ABC,[648],666.1611337270118,18.161133727011816,1,97.19735590632533
ABCD,[1460],-2391.6080323998854,3600.8154217688916,6,-168.01266188555957
ABCD,[809],4296.921224232524,3600.8154217688916,6,-168.01266188555957
ABCD,[1436],-2469.6433436274096,3600.8154217688916,6,-168.01266188555957
ABCD,[2003],4702.770838637365,3600.8154217688916,6,-168.01266188555957
ABCD,[2018],-2371.165862364967,3600.8154217688916,6,-168.01266188555957
ABCD,[836],3833.8595417506253,3600.8154217688916,6,-168.01266188555957
ABCD,[2003],1103.543966787711,1118.5626485567236,3,34.83485220255358
ABCD,[2018],427.4263073651898,1118.5626485567236,3,34.83485220255358
ABCD,[836],192.1045357709258,1118.5626485567236,3,34.83485220255358
ABCD,[836],792.7854492475899,43.214550752410105,1,94.83079536454424
ABCDE,[544],485.7323735009145,133.84238671254795,6,46.27241111509065
ABCDE,[287],290.21369024433164,133.84238671254795,6,46.27241111509065
ABCDE,[225],454.9258173217267,133.84238671254795,6,46.27241111509065
ABCDE,[440],508.7624018969019,133.84238671254795,6,46.27241111509065
ABCDE,[521],339.4058367878274,133.84238671254795,6,46.27241111509065
ABCDE,[200],83.78178591881701,133.84238671254795,6,46.27241111509065
ABCDE,[440],428.77003690546223,117.13652321318231,3,44.073576589923746
ABCDE,[521],368.67570514413376,117.13652321318231,3,44.073576589923746
ABCDE,[200],66.45565404340157,117.13652321318231,3,44.073576589923746
ABCDE,[200],121.78326765320122,78.21673234679878,1,60.89163382660061
ABCDEF,[458],584.4883185059407,166.5490061727597,6,-3.90933737976642
ABCDEF,[197],465.0568258870346,166.5490061727597,6,-3.90933737976642
ABCDEF,[131],373.5695079502692,166.5490061727597,6,-3.90933737976642
ABCDEF,[352],290.30313390279554,166.5490061727597,6,-3.90933737976642
ABCDEF,[280],241.57164787682802,166.5490061727597,6,-3.90933737976642
ABCDEF,[101],221.22672082094226,166.5490061727597,6,-3.90933737976642
ABCDEF,[352],136.89616387908475,153.2067463364686,3,51.755436120023404
ABCDEF,[280],126.00188319899195,153.2067463364686,3,51.755436120023404
ABCDEF,[101],121.78078624187802,153.2067463364686,3,51.755436120023404
ABCDEF,[101],231.66357209373004,130.66357209373004,1,-29.36987336012877
ABCDEFG,[476],435.1918069566906,132.8157179916786,6,-3.3575060833972437
ABCDEFG,[167],364.4640922673998,132.8157179916786,6,-3.3575060833972437
ABCDEFG,[67],213.44546053818812,132.8157179916786,6,-3.3575060833972437
ABCDEFG,[231],116.90606687431178,132.8157179916786,6,-3.3575060833972437
ABCDEFG,[216],55.228284562982374,132.8157179916786,6,-3.3575060833972437
ABCDEFG,[104],34.2040807315355,132.8157179916786,6,-3.3575060833972437
ABCDEFG,[231],146.7650432136113,66.68231781840367,3,63.419417229842736
ABCDEFG,[216],150.3113605898186,66.68231781840367,3,63.419417229842736
ABCDEFG,[104],147.92117071001388,66.68231781840367,3,63.419417229842736
ABCDEFG,[104],165.92304398349418,61.92304398349418,1,40.45861155433251
ABCDEFGH,[803],1.6310853337988485e-25,534.503507939845,6,0.0
ABCDEFGH,[353],1.978845058393755e-25,534.503507939845,6,0.0
ABCDEFGH,[320],3.5244168756409685e-23,534.503507939845,6,0.0
ABCDEFGH,[599],2.5295046170051818e-23,534.503507939845,6,0.0
ABCDEFGH,[676],7.624346449442222e-21,534.503507939845,6,0.0
ABCDEFGH,[163],1.6773075591388576e-21,534.503507939845,6,0.0
ABCDEFGH,[599],144.24542904489383,418.59064453343876,3,33.333912529161616
