MaterialNumber,Actual,Predicted,RMSE_SARIMA,Accuracy_SARIMA
AB,[442],280.8338969454594,161.1661030545406,63.53708075689127
ABC,[648],666.1611337270118,18.161133727011816,97.19735590632533
ABCD,[836],792.7854492475899,43.214550752410105,94.83079536454424
ABCDE,[200],121.78326765320122,78.21673234679878,60.89163382660061
ABCDEF,[101],231.66357209373004,130.66357209373004,-29.36987336012877
ABCDEFG,[104],165.92304398349418,61.92304398349418,40.45861155433251
ABCDEFGH,[163],488.2461049257979,325.2461049257979,-99.53748768453859
ABCDEFGHI,[148],375.84479985418227,227.84479985418227,-53.94918909066369
ABCDEFGHIJ,[257],485.4199511136833,228.41995111368328,11.12064159000652
ABCDEFGHIJK,[289],442.31968130766097,153.31968130766097,46.94820715997891
ABCDEFGHIJKL,[30],93.58634452893153,63.586344528931534,-111.95448176310512
ABCDEFGHIJKLM,[78],134.61788758253746,56.61788758253746,27.412964637772486
ABCDEFGHIJKLMN,[113],163.88315083554443,50.88315083554443,54.97066297739431
ABCDEFGHIJKLMNO,[2781],2494.201306553682,286.7986934463179,89.68720987248048
