material,4/1/2019,5/1/2019,6/1/2019,7/1/2019,8/1/2019,9/1/2019,10/1/2019,11/1/2019,12/1/2019,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023
sku835,24,103,2314,2001,756,2939,2114,3201,4061,1034,314,131,0,40,1729,2864,1164,1690,2526,7296,3035,51,52,29,322,939,3432,1173,794,4143,3408,4481,1509,490,0,0,250,2191,2835,2421,503,1314,990,3178,1947,218,168,61,4295,1782,2418,1177,1223,2072,1905,2911,1792
sku858,190,336,1353,811,498,459,387,1510,1641,494,232,21,0,0,152,524,1188,1063,1472,1287,2181,584,290,276,64,1316,1611,1021,582,1913,941,1587,2221,860,219,319,360,911,1463,946,925,764,734,1054,1343,606,278,221,930,1116,778,638,916,601,876,573,1355
sku837,117,227,2296,1109,533,1316,1039,2413,2878,122,21,21,0,12,1050,1794,935,1020,1133,3295,1773,122,34,0,122,1335,882,714,262,1683,560,2375,897,107,124,153,1632,518,686,820,359,408,299,1276,515,36,6,18,976,250,787,389,325,567,97,842,724
sku859,120,408,1183,700,288,736,692,940,2009,283,508,141,0,0,487,319,856,1389,1269,2230,2180,573,82,108,16,995,884,712,552,1017,280,1151,1550,919,181,158,35,486,884,590,329,548,452,612,867,349,179,222,599,548,556,348,199,385,685,180,796
sku863,187,299,567,688,252,515,280,949,868,428,114,0,0,0,152,243,560,626,764,735,1129,611,250,327,242,430,789,415,479,988,605,1192,1247,768,252,321,21,0,1856,531,497,455,208,590,1313,488,423,153,616,717,586,259,243,292,778,183,1221
sku862,134,232,577,543,185,496,382,905,1142,436,213,131,0,4,196,235,253,640,569,812,1098,574,297,186,211,583,855,404,627,899,576,691,1006,739,238,295,452,440,849,704,619,520,496,768,1048,511,264,215,584,772,596,359,297,316,632,410,1130
sku903,11,74,1239,499,200,540,180,409,612,43,35,12,0,92,326,500,577,263,721,1428,405,190,46,31,0,1300,936,87,112,375,572,668,936,568,92,56,713,1072,427,1159,301,127,576,858,238,64,171,36,2760,934,979,397,133,195,268,512,667
sku1127,84,157,348,516,678,405,378,632,612,230,167,36,0,20,349,1083,1256,582,828,1094,1047,335,153,236,484,411,1096,927,384,278,204,506,486,207,72,0,20,240,259,276,228,46,131,216,240,34,48,84,184,218,84,72,124,56,52,97,68
sku169,86,60,71,146,213,248,29,476,138,111,98,16,0,12,180,706,323,276,580,1232,767,357,31,58,588,1124,1027,412,156,312,736,657,578,73,48,0,668,868,1246,660,32,60,133,172,164,96,38,23,611,114,146,40,124,68,111,161,79
sku230,76,83,318,450,160,733,295,417,580,22,0,1,0,0,408,339,591,232,920,1899,1340,257,3,62,3,208,866,239,212,212,284,448,383,4,0,3,556,664,92,352,32,172,158,149,328,31,14,7,716,94,336,13,36,105,192,148,158
