,material,model,average_rmse,average_accuracy
0,sku1009,ARIMA,17.1813937988828,79.66106496883636
1,sku1009,Croston,17.936681111653645,75.85544958171272
2,sku1009,SARIMA,60.25873118507419,28.989199871350536
3,sku1009,Theta,115.4571471459595,-33.751325959151195
4,sku1011,ARIMA,32.07307603778907,10.784424733660321
5,sku1011,Croston,19.772200266520183,36.02574660029325
6,sku1011,SARIMA,36.6572808267703,19.831018749737353
7,sku1011,Theta,24.540946887545655,32.557962973319825
8,sku1080,ARIMA,63.86250631109201,32.67974842405082
9,sku1080,Croston,55.33383560180664,53.456248976461985
10,sku1080,SARIMA,124.13154577743471,-0.06854277958352857
11,sku1080,Theta,53.5328010151988,57.568030445882016
12,sku1081,ARIMA,34.69751544315795,13.812892082638664
13,sku1081,Croston,23.395325978597004,46.10118415586146
14,sku1081,SARIMA,117.96423856958343,-139.22837268938284
15,sku1081,Theta,28.559208482538764,47.885718624563275
16,sku1119,ARIMA,92.50743275438818,-134.68796294739448
17,sku1119,Croston,127.34707132975261,-187.19575486335916
18,sku1119,SARIMA,143.30109135787526,-261.1566297079328
19,sku1119,Theta,98.47469260387953,-185.15370569728523
20,sku1123,ARIMA,103.8407675991727,-1.7161380415182894
21,sku1123,Croston,104.69835662841797,-0.052338138729878615
22,sku1123,SARIMA,192.84853274971806,-94.17320676271682
23,sku1123,Theta,131.42215222079747,-26.2707791143921
24,sku1127,ARIMA,68.95503208571046,-12.786624743818019
25,sku1127,Croston,37.976479848225914,38.33205225743919
26,sku1127,SARIMA,224.3652561435923,-188.40825580338037
27,sku1127,Theta,224.42572432671327,-199.14712604740666
28,sku1129,ARIMA,23.49192987021172,21.87024966387334
29,sku1129,Croston,30.608036041259766,-11.574323614857912
30,sku1129,SARIMA,131.89455478029,-280.2578771196323
31,sku1129,Theta,173.91536686647328,-496.8198869596178
32,sku1174,ARIMA,66.71580730705342,1.2142299058037693
33,sku1174,Croston,31.955230712890625,53.95886634362801
34,sku1174,SARIMA,120.84953583671903,-41.09779202304865
35,sku1174,Theta,187.89256441879317,-130.10541621256752
36,sku1176,ARIMA,48.15220884353939,-40.26145308540406
37,sku1176,Croston,22.11962954203288,46.527868785221045
38,sku1176,SARIMA,71.21743543468958,-82.21001554696926
39,sku1176,Theta,70.5538291800264,-102.91216255421138
40,sku120,ARIMA,113.73695336586395,69.28099617798615
41,sku120,Croston,114.96939595540364,53.33867615958528
42,sku120,SARIMA,236.0060855502968,17.90093228615284
43,sku120,Theta,356.87506458159964,-27.337804533170125
44,sku122,ARIMA,80.00406249061955,-443.51623020664164
45,sku122,Croston,87.47330729166667,-604.5393349447132
46,sku122,SARIMA,165.90208862734633,-685.4622698337895
47,sku122,Theta,163.79905204631703,-894.7542705544543
48,sku1226,ARIMA,81.35334747050082,18.95619664765317
49,sku1226,Croston,42.89986801147461,60.12537275166579
50,sku1226,SARIMA,142.65900256107253,-31.477913207673737
51,sku1226,Theta,224.45912405937824,-101.55392677417491
52,sku1227,ARIMA,38.87090322719632,-47.78637442022467
53,sku1227,Croston,37.42363611857096,-9.23682869426788
54,sku1227,SARIMA,62.71034311596589,-150.75854024549082
55,sku1227,Theta,36.32723556839576,2.0013799972083652
56,sku1278,ARIMA,53.989686182569876,39.6414935885965
57,sku1278,Croston,31.348336537679035,66.58644935477525
58,sku1278,SARIMA,90.06257236031259,12.557448526946624
59,sku1278,Theta,27.633956085031425,73.43732839642986
60,sku1280,ARIMA,74.98241701989711,-243.05035062964632
61,sku1280,Croston,73.9515609741211,-237.06854763636488
62,sku1280,SARIMA,96.98246061013991,-286.09997090981585
63,sku1280,Theta,50.65174388676712,-142.81047799774717
64,sku138,ARIMA,55.89567952377511,40.025504804627836
65,sku138,Croston,21.066666920979817,76.60742512812789
66,sku138,SARIMA,64.70021730315433,42.511308549435746
67,sku138,Theta,112.20484484741998,-6.850733663827562
68,sku167,ARIMA,106.56110500623554,12.498954074310374
69,sku167,Croston,135.4367421468099,-14.398162465477505
70,sku167,SARIMA,66.49298575340325,46.59790324099939
71,sku167,Theta,177.57895129177749,-40.38865656599407
72,sku169,ARIMA,64.18863249735784,17.712144784705508
73,sku169,Croston,79.00836181640625,-28.717866583768238
74,sku169,SARIMA,97.8376140764205,-52.23506556029645
75,sku169,Theta,64.20995147925719,14.061536041645404
76,sku184,ARIMA,53.13518973379919,-6.784642923929873e+18
77,sku184,Croston,58.82823816935221,-8.394099258853512e+18
78,sku184,SARIMA,77.02251270060964,-1.0554014474034897e+19
79,sku184,Theta,43.36750782895181,-5.122033479283959e+18
80,sku209,ARIMA,80.84888731969636,-511.5806309590207
81,sku209,Croston,43.901092529296875,-255.14007464776958
82,sku209,SARIMA,60.91293191786635,25.03312706242617
83,sku209,Theta,110.59430188857193,-65.71994537507318
84,sku230,ARIMA,149.3655625893514,-368.2515772800225
85,sku230,Croston,86.67410532633464,-259.9823887251692
86,sku230,SARIMA,257.809179457445,-471.24056462224445
87,sku230,Theta,114.17528156409718,-313.9872165068669
88,sku231,ARIMA,139.76006427207042,-2.4796442768193864e+19
