,material,model,average_rmse,average_accuracy
0,sku1009,ARIMA,17.1813937988828,79.66106496883636
5,sku1011,Croston,19.772200266520183,36.02574660029325
11,sku1080,Theta,53.5328010151988,57.568030445882016
13,sku1081,Croston,23.395325978597004,46.10118415586146
16,sku1119,ARIMA,92.50743275438818,-134.68796294739448
20,sku1123,ARIMA,103.8407675991727,-1.7161380415182894
25,sku1127,Croston,37.976479848225914,38.33205225743919
28,sku1129,ARIMA,23.49192987021172,21.87024966387334
33,sku1174,Croston,31.955230712890625,53.95886634362801
37,sku1176,Croston,22.11962954203288,46.527868785221045
40,sku120,ARIMA,113.73695336586395,69.28099617798615
44,sku122,ARIMA,80.00406249061955,-443.51623020664164
49,sku1226,Croston,42.89986801147461,60.12537275166579
55,sku1227,Theta,36.32723556839576,2.0013799972083652
59,sku1278,Theta,27.633956085031425,73.43732839642986
63,sku1280,Theta,50.65174388676712,-142.81047799774717
65,sku138,Croston,21.066666920979817,76.60742512812789
70,sku167,SARIMA,66.49298575340325,46.59790324099939
72,sku169,ARIMA,64.18863249735784,17.712144784705508
79,sku184,Theta,43.36750782895181,-5.122033479283959e+18
81,sku209,Croston,43.901092529296875,-255.14007464776958
85,sku230,Croston,86.67410532633464,-259.9823887251692
89,sku231,Croston,73.17111587524414,-1.5415930124168944e+19
92,sku239,ARIMA,19.166666666666668,0.0
98,sku255,SARIMA,117.96770416367603,39.3705052168069
101,sku270,Croston,50.5076052347819,-128.2357179068842
106,sku271,SARIMA,17.597374814405985,25.49550038430266
108,sku327,ARIMA,21.91143288075015,75.74458449298879
112,sku366,ARIMA,31.32589788336541,38.01612960384821
117,sku486,Croston,80.52119318644206,60.511876544650306
122,sku492,SARIMA,108.09403570364775,-28.190487367212018
127,sku498,Theta,21.945381602039873,-41.50310650095792
131,sku499,Theta,33.47325204052911,-103.2950523625246
135,sku652,Theta,126.93558668715012,-454.3976024886483
137,sku709,Croston,211.18630981445312,-157.1209719896422
143,sku716,Theta,73.90823978544175,20.636717082221868
146,sku734,SARIMA,50.91836789992942,-6.195413116567475e+18
150,sku824,SARIMA,314.32533777827575,27.765674846068578
154,sku835,SARIMA,453.2956222023715,77.16721824277366
157,sku837,Croston,227.00125630696616,8.504970676117669
160,sku858,ARIMA,208.76427252477706,74.99615317852187
164,sku859,ARIMA,178.37424805109913,42.42807796439851
169,sku861,Croston,32.668280283610024,79.47040105394542
172,sku862,ARIMA,239.0209138396564,52.427251587430256
179,sku863,Theta,353.5562070363788,-38.725138664778086
180,sku903,ARIMA,165.58690724345843,50.07398316284719
184,sku905,ARIMA,90.11785288803446,-78.3248863058762
190,sku947,SARIMA,91.61105936798634,51.75488358066041
194,sku949,SARIMA,43.867866018135345,-88.90085288131742
