,material,month,model,accuracy,rmse,actual,predicted
0,sku1009,2023-07,ARIMA,60.69149807499099,42.06009705975964,[107],[64.93990294]
1,sku1009,2023-07,SARIMA,-29.901976905466,138.9951152888486,[107],[245.99511529]
2,sku1009,2023-07,Theta,-178.38013319067255,297.8667425140196,[107],[404.86674251]
3,sku1009,2023-07,Croston,78.4822838328709,23.023956298828125,[107],[83.97604]
4,sku1009,2023-08,ARIMA,79.70789413268629,15.219079400485278,[75],[59.7809206]
5,sku1009,2023-08,SARIMA,35.5982282222994,48.30132883327545,[75],[123.30132883]
6,sku1009,2023-08,Theta,-84.95556888101586,138.7166766607619,[75],[213.71667666]
7,sku1009,2023-08,Croston,75.01235961914062,18.74073028564453,[75],[93.74073]
8,sku1009,2023-09,ARIMA,89.56249950564631,6.366875301555751,[61],[54.6331247]
9,sku1009,2023-09,SARIMA,92.22510620872883,4.742685212675411,[61],[65.74268521]
10,sku1009,2023-09,Theta,88.67425201385088,6.908706271550969,[61],[67.90870627]
11,sku1009,2023-09,Croston,41.49657702836834,35.68708801269531,[61],[96.68709]
12,sku1009,2023-10,ARIMA,72.44863042547183,20.663527180896125,[75],[54.33647282]
13,sku1009,2023-10,SARIMA,0.9765231885209715,74.26760760860927,[75],[0.73239239]
14,sku1009,2023-10,Theta,21.306311072794173,59.02026669540437,[75],[15.9797333]
15,sku1009,2023-10,Croston,77.92672729492188,16.554954528808594,[75],[91.554955]
16,sku1009,2023-11,ARIMA,79.87567169907484,15.495732791712364,[77],[61.50426721]
17,sku1009,2023-11,SARIMA,72.59877623083962,21.09894230225349,[77],[98.0989423]
18,sku1009,2023-11,Theta,12.565001107626898,67.32494914712728,[77],[144.32494915]
19,sku1009,2023-11,Croston,90.34326726740056,7.4356842041015625,[77],[84.435684]
20,sku1009,2023-12,ARIMA,95.68019597514783,3.2830510588876507,[76],[72.71694894]
21,sku1009,2023-12,SARIMA,2.4385422831803822,74.14670786478291,[76],[150.14670786]
22,sku1009,2023-12,Theta,-61.71781787749069,122.90554158689292,[76],[198.90554159]
23,sku1009,2023-12,Croston,91.87148244757401,6.17767333984375,[76],[82.17767]
24,sku1011,2023-07,ARIMA,68.9387059105254,18.63677645368476,[60],[41.36322355]
25,sku1011,2023-07,SARIMA,94.371500915273,3.377099450836198,[60],[63.37709945]
26,sku1011,2023-07,Theta,91.96481257227506,4.821112456634964,[60],[64.82111246]
27,sku1011,2023-07,Croston,93.11136881510417,4.1331787109375,[60],[64.13318]
28,sku1011,2023-08,ARIMA,72.11186622157504,20.91610033381872,[75],[95.91610033]
29,sku1011,2023-08,SARIMA,27.73283092015943,54.200376809880424,[75],[129.20037681]
30,sku1011,2023-08,Theta,62.40052703137229,28.19960472647078,[75],[46.80039527]
31,sku1011,2023-08,Croston,79.03224182128906,15.725818634033203,[75],[59.27418]
32,sku1011,2023-09,ARIMA,83.99340908958398,8.803625000728815,[55],[46.196375]
33,sku1011,2023-09,SARIMA,27.039238519280104,40.12841881439594,[55],[95.12841881]
34,sku1011,2023-09,Theta,95.3380897230948,2.5640506522978583,[55],[52.43594935]
35,sku1011,2023-09,Croston,91.87720558860084,4.467536926269531,[55],[59.467537]
36,sku1011,2023-10,ARIMA,19.515654021911345,19.316243034741277,[24],[43.31624303]
37,sku1011,2023-10,SARIMA,23.66193298120463,18.32113608451089,[24],[5.67886392]
38,sku1011,2023-10,Theta,-73.02679369989102,41.52643048797384,[24],[65.52643049]
39,sku1011,2023-10,Croston,-67.07487106323242,40.09796905517578,[24],[64.09797]
40,sku1011,2023-11,ARIMA,-201.71129483752048,72.41071076100492,[24],[96.41071076]
41,sku1011,2023-11,SARIMA,-53.819390837493046,36.91665380099833,[24],[60.9166538]
42,sku1011,2023-11,Theta,-19.43221329150724,28.663731189961737,[24],[52.66373119]
43,sku1011,2023-11,Croston,-55.63158988952637,37.35158157348633,[24],[61.35158]
44,sku1011,2023-12,ARIMA,21.85820799588663,52.355000642755954,[67],[14.64499936]
45,sku1011,2023-12,SARIMA,0.0,67.0,[67],[0]
46,sku1011,2023-12,Theta,38.10335550457502,41.47075181193474,[67],[25.52924819]
47,sku1011,2023-12,Croston,74.84012432952426,16.85711669921875,[67],[50.142883]
48,sku1080,2023-07,ARIMA,88.46043264146697,22.502156349139426,[195],[172.49784365]
49,sku1080,2023-07,SARIMA,-86.54127454981392,363.7554853721372,[195],[558.75548537]
50,sku1080,2023-07,Theta,50.876937910233025,95.7899710750456,[195],[99.21002892]
51,sku1080,2023-07,Croston,56.17884318033854,85.45125579833984,[195],[109.548744]
52,sku1080,2023-08,ARIMA,90.45651721323942,18.13261729484509,[190],[171.86738271]
53,sku1080,2023-08,SARIMA,56.10765450577464,83.39545643902818,[190],[273.39545644]
54,sku1080,2023-08,Theta,53.3957860613435,88.54800648344735,[190],[101.45199352]
55,sku1080,2023-08,Croston,58.694020321494655,78.48136138916016,[190],[111.51864]
56,sku1080,2023-09,ARIMA,-2.943109347503153,102.94310934750314,[100],[202.94310935]
57,sku1080,2023-09,SARIMA,85.13726716982839,14.862732830171609,[100],[114.86273283]
58,sku1080,2023-09,Theta,72.56339804448159,27.436601955518412,[100],[127.43660196]
59,sku1080,2023-09,Croston,66.01773071289062,33.982269287109375,[100],[133.98227]
60,sku1080,2023-10,ARIMA,-26.56172789534233,112.63993782685466,[89],[201.63993783]
61,sku1080,2023-10,SARIMA,64.20358159983654,31.85881237614548,[89],[57.14118762]
62,sku1080,2023-10,Theta,37.98077637741828,55.19710902409773,[89],[144.19710902]
63,sku1080,2023-10,Croston,32.39250611723139,60.17066955566406,[89],[149.17067]
64,sku1080,2023-11,ARIMA,57.929429348267426,47.96045054297514,[114],[161.96045054]
65,sku1080,2023-11,SARIMA,43.719388346730646,64.15989728472707,[114],[178.15989728]
66,sku1080,2023-11,Theta,88.50016420192364,13.109812809807053,[114],[127.10981281]
67,sku1080,2023-11,Croston,80.90679771021793,21.766250610351562,[114],[135.76625]
68,sku1080,2023-12,ARIMA,-11.263051415823426,78.99676650523463,[71],[149.99676651]
69,sku1080,2023-12,SARIMA,-163.03787374985745,186.7568903623988,[71],[257.75689036]
70,sku1080,2023-12,Theta,42.09112007989207,41.115304743276624,[71],[112.11530474]
71,sku1080,2023-12,Croston,26.547595816598815,52.151206970214844,[71],[123.15121]
72,sku1081,2023-07,ARIMA,57.57748894215524,26.30195685586375,[62],[88.30195686]
73,sku1081,2023-07,SARIMA,-132.38031202853438,144.0757934576913,[62],[206.07579346]
74,sku1081,2023-07,Theta,55.049615757726194,27.86923823020976,[62],[34.13076177]
75,sku1081,2023-07,Croston,93.31790554908014,4.1428985595703125,[62],[57.8571]
76,sku1081,2023-08,ARIMA,21.715370616864533,37.576622103905024,[48],[85.5766221]
77,sku1081,2023-08,SARIMA,-283.40085457354536,184.03241019530176,[48],[232.0324102]
78,sku1081,2023-08,Theta,81.69973323571082,8.784128046858804,[48],[39.21587195]
79,sku1081,2023-08,Croston,76.10476811726889,11.469711303710938,[48],[59.46971]
80,sku1081,2023-09,ARIMA,68.96047617933289,37.24742858480053,[120],[82.75257142]
81,sku1081,2023-09,SARIMA,11.543027354499031,106.14836717460116,[120],[13.85163283]
82,sku1081,2023-09,Theta,34.3720711698776,78.75351459614689,[120],[41.2464854]
83,sku1081,2023-09,Croston,49.47172164916992,60.633934020996094,[120],[59.366066]
84,sku1081,2023-10,ARIMA,21.498112650807684,33.755811560152694,[43],[76.75581156]
85,sku1081,2023-10,SARIMA,83.18303499318606,7.23129495293,[43],[50.23129495]
86,sku1081,2023-10,Theta,90.46236939587239,4.101181159774875,[43],[38.89881884]
87,sku1081,2023-10,Croston,69.57714169524436,13.081829071044922,[43],[56.08183]
88,sku1081,2023-11,ARIMA,-170.23266066887345,62.15351195384089,[23],[85.15351195]
89,sku1081,2023-11,SARIMA,-382.4853925543141,110.97164028749225,[23],[133.97164029]
90,sku1081,2023-11,Theta,-47.530366526519714,33.93198430109953,[23],[56.9319843]
91,sku1081,2023-11,Croston,-106.60360585088316,47.518829345703125,[23],[70.51883]
92,sku1081,2023-12,ARIMA,83.35856477554509,11.149761600384792,[67],[78.1497616]
93,sku1081,2023-12,SARIMA,-131.82973932758827,155.32592534948415,[67],[222.32592535]
94,sku1081,2023-12,Theta,73.26088871471235,17.915204561142723,[67],[49.08479544]
95,sku1081,2023-12,Croston,94.73917377528859,3.5247535705566406,[67],[63.475246]
96,sku1119,2023-07,ARIMA,82.43007355197133,34.78845436709676,[198],[232.78845437]
97,sku1119,2023-07,SARIMA,46.66355647913948,105.60615817130383,[198],[303.60615817]
98,sku1119,2023-07,Theta,85.9346918253926,27.849310185722658,[198],[225.84931019]
99,sku1119,2023-07,Croston,72.94851746221985,53.56193542480469,[198],[251.56194]
100,sku1119,2023-08,ARIMA,64.43153948662669,119.51002732493433,[336],[216.48997268]
101,sku1119,2023-08,SARIMA,85.9434007885636,47.2301733504263,[336],[383.23017335]
102,sku1119,2023-08,Theta,88.42191988132846,38.902349198736374,[336],[374.9023492]
103,sku1119,2023-08,Croston,80.78873952229819,64.54983520507812,[336],[271.45016]
104,sku1119,2023-09,ARIMA,97.76402185804325,1.3415868851740527,[60],[61.34158689]
105,sku1119,2023-09,SARIMA,-201.76038141246994,181.05622884748198,[60],[241.05622885]
106,sku1119,2023-09,Theta,-251.46849570355312,210.88109742213186,[60],[270.88109742]
107,sku1119,2023-09,Croston,-242.5072733561198,205.50436401367188,[60],[265.50436]
108,sku1119,2023-10,ARIMA,-1159.3247407755025,277.05144297061054,[22],[299.05144297]
109,sku1119,2023-10,SARIMA,-1559.3608245971898,365.05938141138176,[22],[387.05938141]
110,sku1119,2023-10,Theta,-1220.6415449652716,290.54113989235975,[22],[312.54113989]
111,sku1119,2023-10,Croston,-1042.50751842152,251.35165405273438,[22],[273.35165]
112,sku1119,2023-11,ARIMA,65.37200488400516,72.37250979242921,[209],[136.62749021]
113,sku1119,2023-11,SARIMA,65.16701105898083,72.80094688673006,[209],[281.80094689]
114,sku1119,2023-11,Theta,90.74131089841933,19.35066022230359,[209],[189.64933978]
115,sku1119,2023-11,Croston,79.0304886667352,43.82627868652344,[209],[252.82628]
116,sku1119,2023-12,ARIMA,41.19932331048914,49.980575186084224,[85],[134.98057519]
117,sku1119,2023-12,SARIMA,-3.5925405646207764,88.05365947992766,[85],[173.05365948]
118,sku1119,2023-12,Theta,96.08988387997302,3.3235987020229345,[85],[88.3235987]
119,sku1119,2023-12,Croston,-70.92748305376838,145.28836059570312,[85],[230.28836]
120,sku1123,2023-07,ARIMA,-204.1861840850409,152.09309204252045,[50],[202.09309204]
121,sku1123,2023-07,SARIMA,-272.28107084876046,186.14053542438023,[50],[236.14053542]
122,sku1123,2023-07,Theta,-262.4134043363041,181.20670216815205,[50],[231.20670217]
123,sku1123,2023-07,Croston,-201.0484619140625,150.52423095703125,[50],[200.52423]
124,sku1123,2023-08,ARIMA,-4.923533201341002,97.57888587724713,[93],[190.57888588]
125,sku1123,2023-08,SARIMA,-193.4054741125998,272.8670909247178,[93],[365.86709092]
126,sku1123,2023-08,Theta,-29.450607964777646,120.38906540724321,[93],[213.38906541]
127,sku1123,2023-08,Croston,-12.845258815314182,104.94609069824219,[93],[197.94609]
128,sku1123,2023-09,ARIMA,88.21318427022052,20.037586740625102,[170],[149.96241326]
129,sku1123,2023-09,SARIMA,-83.87044729767072,312.57976040604024,[170],[482.57976041]
130,sku1123,2023-09,Theta,73.80716278507096,44.52782326537937,[170],[125.47217673]
131,sku1123,2023-09,Croston,92.74170819450828,12.339096069335938,[170],[157.6609]
132,sku1123,2023-10,ARIMA,45.06098756767262,173.60727928615452,[316],[142.39272071]
133,sku1123,2023-10,SARIMA,90.10167133417,31.278718584022783,[316],[347.27871858]
134,sku1123,2023-10,Theta,35.04888069282656,205.24553701066807,[316],[110.75446299]
135,sku1123,2023-10,Croston,43.938677823996244,177.15377807617188,[316],[138.84622]
136,sku1123,2023-11,ARIMA,72.06998934214715,67.86992589858244,[243],[175.1300741]
137,sku1123,2023-11,SARIMA,75.82465541656853,58.74608733773846,[243],[184.25391266]
138,sku1123,2023-11,Theta,61.002721509409106,94.76338673213587,[243],[148.23661327]
139,sku1123,2023-11,Croston,60.89042381004051,95.03627014160156,[243],[147.96373]
140,sku1123,2023-12,ARIMA,-6.531272142768117,111.85783574990651,[105],[216.85783575]
141,sku1123,2023-12,SARIMA,-181.40857506800842,295.47900382140887,[105],[400.47900382]
142,sku1123,2023-12,Theta,-35.61942737257746,142.40039874120635,[105],[247.40039874]
